url,path,title,status,source_type,source_count,source_urls,providers,note,http_status,error
https://www.camaramar.com/webcam/a-gabeira-playa-de-baleo,/webcam/a-gabeira-playa-de-baleo,"Webcam Playa de Baleo, A Gabeira",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/a-gandara-playa-de-larino,/webcam/a-gandara-playa-de-larino,"Webcam Playa de Lariño, A Gándara",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/afife-afife,/webcam/afife-afife,"Webcam Afife, Afife",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/aguas-blancas,/webcam/aguas-blancas,"Webcam Aguas Blancas,",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/aguilas-max-point,/webcam/aguilas-max-point,"Webcam Max Point, Águilas",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/aguilas-playa-piojo,/webcam/aguilas-playa-piojo,"Webcam Playa Piojo, Águilas",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/aizarnazabal-cuenca-drenante-urola-aizarnazabal,/webcam/aizarnazabal-cuenca-drenante-urola-aizarnazabal,"Webcam Cuenca drenante: UROLA - AIZARNAZABAL, Aizarnazabal",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alacant-la-calita,/webcam/alacant-la-calita,"Webcam La Calita, Alacant",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alacant-la-placa,/webcam/alacant-la-placa,"Webcam La Placa, Alacant",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alacant-la-punta,/webcam/alacant-la-punta,"Webcam La Punta, Alacant",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alaior-cala-de-llucalari,/webcam/alaior-cala-de-llucalari,"Webcam Cala de Llucalari, Alaior",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alaior-cales-coves,/webcam/alaior-cales-coves,"Webcam Cales Coves, Alaior",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alaior-talis,/webcam/alaior-talis,"Webcam Talis, Alaior",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/albufeira-praia-albufeira,/webcam/albufeira-praia-albufeira,"Webcam Praia Albufeira, Albufeira",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcaufar-cala-alcalfar,/webcam/alcaufar-cala-alcalfar,"Webcam Cala Alcalfar, Alcaufar",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcaufar-calo-roig,/webcam/alcaufar-calo-roig,"Webcam Caló Roig, Alcaufar",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-cala-punset,/webcam/alcudia-cala-punset,"Webcam Cala Punset, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-can-cap-de-bou,/webcam/alcudia-can-cap-de-bou,"Webcam Can Cap de Bou, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-coll-baix,/webcam/alcudia-coll-baix,"Webcam Coll Baix, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-el-niu-de-saguila,/webcam/alcudia-el-niu-de-saguila,"Webcam El Niu de s'Aguila, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-es-farayo,/webcam/alcudia-es-farayo,"Webcam Es Farayó, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-lestrella,/webcam/alcudia-lestrella,"Webcam L'Estrella, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-platja-de-alcudia,/webcam/alcudia-platja-de-alcudia,"Webcam Platja de Alcudia, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-platja-de-sant-juan,/webcam/alcudia-platja-de-sant-juan,"Webcam Platja de Sant Juan, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-platja-dels-cecs,/webcam/alcudia-platja-dels-cecs,"Webcam Platja dels Cecs, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-platja-des-morer-vermell,/webcam/alcudia-platja-des-morer-vermell,"Webcam Platja des Morer Vermell, Alcúdia",unknown,none,0,,,no_embed_found,200,
https://www.camaramar.com/webcam/alcudia-platja-sa-marina,/webcam/alcudia-platja-sa-marina,"Webcam Platja Sa Marina, Alcúdia",unknown,none,0,,,no_embed_found,200,
